Time(milli)	LAT(deg)	LON(deg)	ALT(m)	Phi(deg)	Theta(deg)	Psi(deg)	Vx(m/s)	Vy(m/s)	Vz(m/s)	P(deg/s)	Q(deg/s)	R(deg/s)	Nx(m/s2)	Ny(m/s2)	Nz(m/s2)	Radial(deg)	Distance(m)	DeltaAlt:Anv-Tgt(m)	JX	JY	Throttle
43201	-23.6878855458575	-45.3756782627213	152.410496943911	2.72816887458562e-06	0.323229918254148	1.31794080735561e-05	232.891774611616	-5.21088158547514e-05	1.27690004763726	5.94611606795963e-05	2.40379392993201	0.0003231508266322	2.37217364562566	3.43956763115652e-05	-10.7239849537763	180.53849986644	6818.26478759738	146.009696953641	3.0517578125e-05	-0.22833251953125	68.1121826171875
43202	-23.6857520993654	-45.3756900320634	160.294462928542	-18.9626224815935	12.301035012448	356.915876892034	233.455499179396	-1.89070984226087	27.4307727388712	-19.0706046566233	14.5482101852406	-3.03552226125449	7.44171780709723	0.842140374988409	-55.0002359043352	180.568289926225	6582.00140986341	153.893662938271	0.1181640625	-0.52752685546875	80.7098388671875
43203	-23.6835413734238	-45.3758645340202	209.885961020996	-30.3361099717693	23.0946649334977	349.30464358274	231.971379287724	-1.62217940328897	28.3584128282138	-12.8911725104584	10.5732275467481	-1.9269388655518	7.52714499796711	0.744271713722231	-54.2219079461029	180.751170894352	6337.39787265665	203.485161030726	0.09454345703125	-0.52752685546875	80.7098388671875
43204	-23.6815739657791	-45.3762919384129	295.844110528832	-49.5228752742232	29.1953923819083	338.66251701844	229.919965885215	-0.24830352712858	26.0429645021033	-5.16073708408412	10.8788669644807	-2.11977033118791	7.11238855801356	0.0244297526053246	-49.8258683879236	181.186029513773	6120.30489208007	289.443310538561	3.0517578125e-05	-0.52752685546875	80.7098388671875
43205	-23.6797264678961	-45.3770865879296	413.146306138236	-56.5784854875757	34.3865928028257	326.754522677043	227.413093444122	-0.272086812381725	23.5862515427193	0.508951393160012	7.82175377551664	-1.60701510060983	9.16109739920451	0.0784255109558405	-44.366168220295	182.011682953179	5918.07464919673	406.745506147965	3.0517578125e-05	-0.3779296875	90.5517578125
43206	-23.678125226596	-45.3781865417185	546.741408261349	-63.7835402334061	33.4521551243843	323.01093353009	229.440778348014	0.0646706005772164	4.66425922633899	-0.977465081772123	-0.0083044222401584	-1.43469871603704	7.34613180983721	-0.0668802769062728	-14.7536067981126	183.192003539939	5746.05528980098	540.340608271078	3.0517578125e-05	-0.0472412109375	90.5517578125
43207	-23.6767171574084	-45.3793555023827	672.395057168884	-64.9987675482785	32.720218459365	319.9004163279	231.251126639918	-0.102895195522613	3.74701583469216	0.47472092101336	2.92187522227122	-2.04960057780108	7.89176587674372	-0.0130826584807749	-14.5425457869472	184.499509304589	5598.49786411428	665.994257178613	3.0517578125e-05	-0.02362060546875	93.3074951171875
43208	-23.6753567669035	-45.3806303911327	796.464731111784	-65.681314385249	31.462468705884	318.070063334909	233.257306775334	-0.396302722211796	-0.489325699573906	0.71811264530268	0.290336226393783	-1.92424194551166	3.45140873179568	0.12254044983455	-7.57978099391096	185.984208457651	5460.38007207453	790.063931121513	3.0517578125e-05	3.0517578125e-05	75.592041015625
43209	-23.6739034261743	-45.382105400721	927.12118164798	-66.0362238458886	29.8109563931121	316.403748238779	231.218372863546	-0.324141665378046	-1.30737655342541	0.451272804890111	0.752718148140592	-1.8415865068476	2.83839934365826	0.0917215047140849	-6.26216208464674	187.77750117609	5318.63840784089	920.720381657709	3.0517578125e-05	3.0517578125e-05	68.1121826171875
43210	-23.6725816918236	-45.3835290180246	1042.72427164561	-31.8067616087214	29.6381845752501	315.297102524197	229.184079220197	-3.73007315850341	0.873012078181286	52.6516268668724	-0.117142230038031	-2.14612640019205	2.88646025312419	1.05837107989541	-8.92688423765355	189.583101467844	5195.87692594092	1036.32347165534	-0.251953125	3.0517578125e-05	68.1121826171875
