Time(milli)	LAT(deg)	LON(deg)	ALT(m)	Phi(deg)	Theta(deg)	Psi(deg)	Vx(m/s)	Vy(m/s)	Vz(m/s)	P(deg/s)	Q(deg/s)	R(deg/s)	Nx(m/s2)	Ny(m/s2)	Nz(m/s2)	Radial(deg)	Distance(m)	DeltaAlt:Anv-Tgt(m)	JX	JY	Throttle
43214	-23.667446562657	-45.3893779957597	1385.94489677078	-1.79011062535909	32.0953921178022	316.753352777593	226.778245762587	-0.144968375918548	2.11762839040595	0.0925539517447918	0.52958047168647	-0.0488370852720126	3.27241123040439	0.0587686271347999	-10.235227913577	197.793312772381	4783.58070018949	1379.54409678051	3.0517578125E-5	-0.02362060546875	71.6552734375
43215	-23.6661131303589	-45.390743048378	1511.85882174377	-1.83407534978761	32.6284785386547	316.603700227946	225.386658613413	0.0169611965217675	2.29497627862295	-0.129116979630046	1.0376583780271	0.0126564418528792	4.12949037785503	-0.00605817176481377	-10.2473058010323	199.96584712752	4688.94049249699	1505.4580217535	3.0517578125E-5	-0.07086181640625	79.1351318359375
43216	-23.664744409339	-45.3921495751763	1644.66764611288	-1.84274159313378	33.3986511652197	316.485686921314	224.063322875493	0.0302947351196267	2.16483397049272	-0.0199490669237036	-0.476400988437561	-0.0852066303204643	4.14060314881376	-0.0141861851361437	-9.59346792814226	202.291773775237	4599.30236984356	1638.26684612261	3.0517578125E-5	3.0517578125E-5	79.1351318359375
43217	-23.6634255635494	-45.393509725127	1774.93755340088	-1.87655198473516	32.9742942265748	316.432473254488	223.73703692823	-0.0267403851021087	0.582894615871499	0.0666569602854035	-0.13347178926938	-0.0885437982868725	5.15419356094464	0.00811015489580922	-7.57131056949668	204.622324590101	4520.58222921929	1768.5367534106	3.0517578125E-5	3.0517578125E-5	84.2529296875
43219	-23.6621436486117	-45.3948355075625	1901.1208334842	-1.91391068518385	32.9213814221845	316.344871341132	224.192179235401	-0.0158894465016535	0.869913074510042	0.00635584816437923	-0.0464930621311733	-0.0550398159400732	6.26703673533093	0.00487179658036373	-7.88678874012891	206.967269917714	4451.65076374469	1894.72003349393	3.0517578125E-5	3.0517578125E-5	89.3707275390625
43220	-23.6608746937822	-45.3961461340079	2025.55738546665	39.4787537342188	32.4752388591001	319.362250798993	224.993685910917	-6.58072404934724	4.27985875288716	72.4051410782742	1.69108540166284	1.96182208151965	6.34233478671274	2.20464642173365	-12.0474033349751	209.355080415764	4390.89566498239	2019.15658547638	-0.19683837890625	-0.1732177734375	89.3707275390625
43221	-23.6594332342515	-45.3974848768285	2159.67978597937	93.5006763511455	31.7285344661041	326.71609468887	225.276841600372	-0.256556313463025	13.4079042972029	12.0065269074206	10.1282525183408	5.4353754710222	5.25858433841411	0.220150407996521	-24.9957698819589	211.971382644822	4323.26989004179	2153.2789859891	-0.02362060546875	-0.40155029296875	80.7098388671875
43222	-23.6577966780082	-45.3986061804371	2284.10277939714	117.464711871327	25.271203030999	339.724969619913	220.831329684585	2.05254163783231	24.2809537692429	7.61059825268261	13.1404572530156	4.68987714119596	5.15451743803919	-0.62030792656185	-37.383128407326	214.584565474522	4234.54022537485	2277.70197940687	3.0517578125E-5	-0.65350341796875	76.7730712890625
43223	-23.6559462371036	-45.3993698545928	2379.27484307879	125.8627972246	13.3498105195224	353.883932582617	214.366524437289	1.26203712760791	36.2581362973451	-1.64791949111927	15.4083197423926	1.64369545846138	6.80711209734564	-0.427177666306505	-50.196393676258	217.099552588605	4114.0374369554	2372.87404308852	3.0517578125E-5	-0.8031005859375	76.7730712890625
43224	-23.6538811082525	-45.3996949629184	2433.32453815295	126.494879568168	2.23455380723755	5.3240991971151	210.636601236903	0.513139733941508	34.6712147604719	-0.0872062228638643	14.4892908590293	1.73598620757856	6.99040128935394	-0.140798966980052	-46.7581856672409	219.482982920982	3955.05565892956	2426.92373816268	3.0517578125E-5	-0.85821533203125	79.1351318359375
43225	-23.6517974411731	-45.3995608328262	2441.83862717577	125.031976585889	-9.16927645832124	17.2416570581624	208.806444650769	0.232081767777186	36.1282403457879	0.0725818979895632	14.7738398212388	1.94596151543943	6.50014364649262	-0.0352192299254401	-48.0623126113528	221.553497593355	3770.69239955951	2435.4378271855	3.0517578125E-5	-0.85821533203125	70.4742431640625
