seed,loss,mse,rmse,mae,r2,training_time,inference_time
43,0.12725283205509186,7.56267211766142,2.7500312939422016,1.1451830442766742,0.9452524475583445,172.95194220542908,0.9576320648193359
44,0.13544687628746033,8.785053266247651,2.9639590527278967,1.194081692374713,0.9393899805967122,174.97658562660217,0.9775364398956299
45,0.15316130220890045,9.862236912791163,3.1404198625010578,1.259250262382274,0.9343732314373422,172.53903079032898,0.9051377773284912
46,0.13439571857452393,8.05014912266936,2.837278471117941,1.1623923373976524,0.941206288185351,171.35334658622742,1.152679443359375
47,0.1290469765663147,7.4165588805958995,2.723335983788247,1.1723429933804934,0.9430435411508661,174.605810880661,1.0015976428985596
mean,0.13586074113845825,8.335334059993098,2.8830049328154685,1.1866500659623616,0.9406530977857231,173.28534321784974,0.9989166736602784
std,0.010273150381113974,1.0069960826931694,0.1718160984700383,0.044268107029231174,0.004129359630070101,1.5003903819379847,0.09301369746142603
