Time(milli)	LAT(deg)	LON(deg)	ALT(m)	Phi(deg)	Theta(deg)	Psi(deg)	Vx(m/s)	Vy(m/s)	Vz(m/s)	P(deg/s)	Q(deg/s)	R(deg/s)	Nx(m/s2)	Ny(m/s2)	Nz(m/s2)	Radial(deg)	Distance(m)	DeltaAlt:Anv-Tgt(m)	JX	JY	Throttle
43201	-23.6876994540669	-45.3756782652864	152.413164918727	-0.894289973321804	0.193147358188395	359.92580626676	232.701205956628	0.27289624897421	0.754296720637098	-4.7713208267512	0.148594981658725	-0.408169542720462	1.31207291754451	-0.066838249337282	-9.7697556878245	180.540135551816	6797.65508705797	146.012364928456	0.04730224609375	-0.0472412109375	50.0015258789063
43202	-23.6854161237582	-45.3757055786761	162.515686968978	-21.6341244498302	17.8846721019241	354.389918905911	227.109516381392	-3.00293271648281	40.9749611591509	-19.6536206452693	21.3888372561326	-5.06459370331268	7.2970118731238	1.30437339928987	-76.0745133005769	180.585403928053	6544.80938356226	156.114886978707	0.1968994140625	-0.82672119140625	56.695556640625
43203	-23.6832810730128	-45.3760263496283	229.217558702009	-51.8760097274039	28.060032096652	336.593791683347	218.067131787361	0.702615533995774	38.178537887446	-7.80767875677927	13.2228942806655	-2.73294707105921	6.84577349241548	-0.466914787051378	-65.3263082250212	180.904492331724	6308.8193206691	222.816758711738	3.0517578125E-5	-0.77947998046875	59.0576171875
43204	-23.6815540731676	-45.376781548623	328.810052249865	-60.0950821073669	33.0631923951576	323.439801092068	212.001157098474	-0.0143908477551865	28.3637633745399	0.121896356927116	7.72035213966186	-1.9651417454249	5.45263925754356	-0.0503109574275681	-47.9711460103962	181.653971178234	6119.3563511127	322.409252259595	3.0517578125E-5	-0.3779296875	61.8133544921875
43205	-23.6800597212435	-45.3778594241985	446.389746190363	-36.1361373758647	32.1850667283414	324.547932986426	210.222032256431	-3.15897933696407	2.03456782631179	13.2467078128938	-1.76271033659414	-1.90084629975076	2.86948938531258	1.22837040602966	-8.8652907360287	182.756854106412	5958.25025357458	439.988946200092	3.0517578125E-5	-0.07086181640625	61.8133544921875
43206	-23.6786437713208	-45.3790044966489	563.637110044499	-41.5611254491029	30.6214522064298	322.175245410911	208.584230590452	0.333951118205413	0.674179155527815	-5.27618859134266	0.145786072499916	1.29978080146426	4.80417540125886	-0.0787042548154567	-7.6698537610529	183.982219346427	5808.60749363236	557.236310054228	3.0517578125E-5	0	81.890869140625
43207	-23.6772403945993	-45.3802115916341	678.878255803147	-40.9465502878362	29.5924816216369	320.530677747094	212.582860027217	1.06969753369108	0.206597540332158	-0.787524816405292	0.232619112606448	-2.20483642352624	9.35711485838161	-0.500214269764653	-7.2090328257343	185.334251408887	5663.73043635799	672.477455812876	3.0517578125E-5	-0.02362060546875	100
43208	-23.6758073024468	-45.3815203886444	795.328308641058	-41.8825082404749	29.1210388355714	319.167949411243	217.595353790842	-0.672829773434134	0.356223916987863	1.94378005035356	0.253102570602148	-2.23541466171245	9.26120299995777	0.216844761791598	-7.72844211102234	186.867436654184	5520.13388799779	788.927508650787	3.0517578125E-5	3.0517578125E-5	99.6063232421875
43209	-23.6743963046347	-45.3828878020466	909.143654683467	-35.3971790192283	28.5802846668344	317.975967961457	218.351640764708	-2.53219725346428	0.438937053474719	46.5166511868962	0.391459653790545	2.49902457429461	3.78367822956939	0.525369979179861	-7.84854215893925	188.540445142037	5384.00283690416	902.742854693196	-0.4251708984375	3.0517578125E-5	76.7730712890625
43210	-23.6730843439308	-45.3841990725874	1015.29797103657	21.2055370361029	29.0850408130195	317.261442921591	217.460918333941	2.26948406824741	1.56982646519347	9.41686189212595	-1.48859203419663	-2.99094618945469	3.83658878600715	-1.06175577388869	-8.59362452083486	190.21600809231	5262.46810098984	1008.8971710463	3.0517578125E-5	3.0517578125E-5	75.592041015625
43211	-23.671788067557	-45.3854668511406	1119.29395171853	13.6454861643897	27.9891272549069	318.470571405399	216.15088557108	-0.481817524245097	0.0720620886914447	-22.9145741429033	-0.0560418005074392	-1.22232973569265	3.15744673177829	0.427716805330137	-6.92960119847781	191.916931947007	5146.42428444166	1112.89315172826	0.17327880859375	3.0517578125E-5	69.293212890625
43212	-23.6703870563808	-45.3868188440842	1229.11083078814	-1.65297324559447	28.1408039841208	318.810806754035	217.821556298452	-1.61598466904525	1.14058152157085	0.162090885748248	-0.239396433606857	1.2705649886145	7.80969747272545	0.688160580445532	-8.27736737013479	193.821213158209	5025.90101006988	1222.71003079787	3.0517578125E-5	3.0517578125E-5	94.488525390625
43214	-23.6689805135402	-45.3881758799728	1338.8358887641	-0.985874408936752	27.915264455267	318.043000705567	221.21823974068	0.951026992018599	0.901354949306515	-2.40796622316581	0.0545299507789118	0.730372289292468	7.70299456713562	-0.358379271414841	-8.13609872328664	195.824525812016	4910.74919565281	1332.43508877383	3.0517578125E-5	-0.02362060546875	94.488525390625
43215	-23.6676014492526	-45.3895096372489	1447.14061099416	-0.717515608957171	30.3397511825287	318.202672153827	224.084612374394	0.228104889299415	6.83431261510766	0.602362075680867	2.11923045377521	-0.720235322861469	5.89925495410562	-0.11347745855472	-16.5952824007736	197.883279250069	4804.05008648793	1440.73981100389	3.0517578125E-5	-0.02362060546875	84.2529296875
43216	-23.6662612770017	-45.3908087065389	1559.06702297239	-1.15007676310051	30.3814879780752	318.312517678276	222.839194653483	-0.395645512256756	2.32169709626489	0.597952185865087	-0.362580003261509	-0.0327970264068805	3.39881526255923	0.155971655385477	-9.74893235562616	199.974258401113	4706.66889412797	1552.66622298212	3.0517578125E-5	-0.02362060546875	76.7730712890625
43217	-23.6648335908665	-45.3921952471993	1681.08243219343	-1.13089147553518	30.3799759040363	318.130858951157	224.034971814451	0.0386056599760091	1.51589960718116	-0.360812358506567	-0.176624606102002	0.188783967326118	7.03185591174238	-0.00914551570998169	-8.82810443401793	202.298772131999	4610.22341506986	1674.68163220316	3.0517578125E-5	3.0517578125E-5	92.12646484375
43218	-23.6634917271469	-45.3935010994786	1796.28533301411	-1.8664209711302	30.1436233698489	318.036780260097	226.124703698742	0.163574662221958	0.7946092239973	-0.513783770575566	-0.152645626271762	-0.0308021167863249	6.91466411319642	-0.0635274694187411	-7.97112128428386	204.57354123314	4526.88680406355	1789.88453302383	3.0517578125E-5	3.0517578125E-5	92.12646484375
43219	-23.6621215319377	-45.394839373667	1913.61009151971	-9.51022503010512	30.0151907206399	317.495978427311	226.635662856369	1.14179910157788	0.972097576597298	-7.3326788910136	-0.0525996147775871	0.0789231200453883	4.57193562580654	-0.414539274435416	-8.16372157245648	206.986105837807	4449.65097821858	1907.20929152944	3.0517578125E-5	0	81.890869140625
43220	-23.6607769964392	-45.3961684277253	2028.92637952034	17.1099084208474	31.1314595719346	319.723192824768	226.114040890286	-5.09133741311952	6.21324002392721	87.1134537307422	4.12849986579478	3.60610610258234	4.87917210503409	1.46366674892608	-15.5672529707979	209.450373729796	4382.58657792324	2022.52557953007	-0.48028564453125	-0.07086181640625	81.890869140625
43221	-23.6594215618021	-45.3974166926532	2144.3330658848	100.863040326931	29.1816724516274	324.915040703976	224.768154751189	-1.01841021155348	9.52387389680693	52.8606551643126	7.18176733193093	5.60087181154309	3.21788199971191	0.440352610344958	-19.2304173714217	211.902172361573	4318.48637241153	2137.93226589453	-0.02362060546875	-0.4251708984375	66.5374755859375
43222	-23.6577940403885	-45.3985843791642	2255.60973943087	119.294319002976	19.6284896449845	340.556950936546	218.190377947028	0.271866832207481	33.3440062092548	-2.83407028135211	17.3791799245179	3.06623035704034	5.74528151879855	-0.040906423100035	-48.9368483320384	214.562024233001	4233.02755105031	2249.2089394406	3.0517578125E-5	-0.755859375	66.5374755859375
43223	-23.655907735869	-45.3993681456886	2333.0136549157	121.227984186502	9.80772847852651	353.814539485455	212.201031419771	0.798757204619698	34.6033867607308	-3.03285710066504	14.1119478407116	2.26343125076754	5.84505932837748	-0.250685312397606	-47.4908406692358	217.133481380344	4110.51676515495	2326.61285492543	3.0517578125E-5	-0.82672119140625	66.5374755859375
43224	-23.6538693033095	-45.3996904111678	2371.2164898322	117.839912368302	0.211400577386992	6.09817662548205	208.376724228438	-0.292167636972677	34.3982462788188	-8.95868067790578	13.0148271200867	0.807375746023655	5.85184409264991	0.117502032567526	-46.0929877928166	219.489840745503	3953.73184491503	2364.81568984193	0.0709228515625	-0.73223876953125	66.5374755859375
43225	-23.6517766570393	-45.3995336144869	2372.70529936383	110.296740039267	-6.57398799512174	18.2782861042825	207.46592723133	0.477114888747817	31.8028506951912	-3.10798814873539	12.6914236464941	2.53399821827452	5.69407916521504	-0.124179892567476	-42.7360450412192	221.545122209771	3767.10661088461	2366.30449937356	3.0517578125E-5	-0.755859375	69.293212890625
43226	-23.6498119757015	-45.3989163543659	2343.61507509321	105.940479500158	-13.5584516110432	31.2893437338878	207.553596542595	0.0246629940473118	33.0776641138442	-9.61387761981958	13.3320997214563	1.8822653497835	5.87931915064375	0.0453851113004642	-44.4771083793288	223.108506704617	3563.78167744892	2337.21427510294	0.09454345703125	-0.77947998046875	69.293212890625
43227	-23.6480532014569	-45.3978593632172	2288.56764420452	92.9288329951324	-16.2896061145036	42.7487567430221	210.246807717664	1.36986278730883	26.2529574102204	-5.28575454421527	3.05716349955228	1.56077578935734	5.13791472329955	-0.473147888686599	-36.2199246385187	224.039962410506	3348.27381120753	2282.16684421425	3.0517578125E-5	-0.0472412109375	69.293212890625
43228	-23.6464806401328	-45.3964929115472	2217.35879948558	91.1161950460538	-19.0659575682253	39.1758242519744	217.76105038314	-0.00276165361215577	-3.42077873864724	0.133280101105773	-2.2651791306185	2.1657713120008	2.90800648470051	0.0488727161166784	-1.31793323451493	224.422859594177	3126.17315712096	2210.95799949531	3.0517578125E-5	3.0517578125E-5	69.293212890625
43230	-23.6448968710426	-45.3950459766989	2132.07492095853	90.5873202960877	-21.6152050198221	38.888560436317	223.959449922098	0.228493002377482	-4.33175977057742	-0.703348337975849	1.14084979232061	2.57560259026712	1.17448912908337	-0.0244658874141611	-1.3323055986329	224.766458228438	2897.56125673548	2125.67412096826	3.0517578125E-5	3.0517578125E-5	44.488525390625
43231	-23.6433517913139	-45.3935767679865	2035.80201786979	87.2327603095772	-23.914712240111	46.4134627092866	228.838890799433	0.402220114669805	10.0962096714809	-0.777006774506794	3.82789453921295	2.22259567374055	1.59257065486123	-0.101925144199434	-20.8240851969907	225.069224125794	2670.48368349521	2029.40121787952	3.0517578125E-5	3.0517578125E-5	44.488525390625
43232	-23.6419126997952	-45.3919676966574	1927.95709565987	79.7193116336026	-25.7748250246354	46.6027832058671	234.487649499229	2.47027690802011	-1.67157094721653	-25.2619884568974	-0.23361052938089	0.456393572472066	0.771461131467606	-0.743025868540478	-5.04519740062105	224.996856471418	2441.63342525004	1921.5562956696	0.14178466796875	3.0517578125E-5	44.488525390625
43233	-23.6404970171845	-45.3902728952105	1808.41387352966	37.9850756168773	-27.4972918105375	47.48160011061	240.331408207249	3.42869496857246	-1.08866313241995	-65.4073202638711	0.0745909181246851	-1.30138275374008	0.831276464201914	-0.764290442955405	-6.36577672905945	224.701195623906	2208.46232559921	1802.01307353939	0.39373779296875	3.0517578125E-5	46.8505859375
43234	-23.6391953516646	-45.3886749681566	1692.75769499675	-6.1507530859227	-31.3059873572784	49.8202088281858	245.616810046602	-3.46123676951952	-11.1015973366093	-0.558601931181221	-10.9474892678954	1.1921122335317	1.06299774230647	1.55180332795009	10.9625640470584	224.285085403597	1991.31045350841	1686.35689500647	3.0517578125E-5	0.1968994140625	49.6063232421875
43235	-23.6378263883193	-45.38697535338	1549.82093249025	-5.32895172981023	-36.4092654307945	49.0429462895577	251.454648745447	0.331274738666855	-9.01855734951805	-2.65083781491919	0.207663223201759	2.25991498688515	0.769111997255159	-0.0757051898666697	5.02992288143984	223.691059343238	1761.72868805914	1543.42013249998	3.0517578125E-5	3.0517578125E-5	50.0015258789063
